29082 2452226.7500000  307.620 41.700 1015.220
29082 2452227.0000000  310.130 42.250 1013.230
29082 2452227.2500000  316.280 43.770 1007.810
29082 2452227.5000000  317.890 44.900 1001.260
29082 2452227.7500000  318.760 48.550 993.940
29082 2452228.0000000  318.580 50.240 991.370
29082 2452228.2500000  318.050 50.760 987.680
29082 2452228.5000000  317.220 51.350 984.010
29082 2452228.7500000  317.850 52.200 979.110
29082 2452229.0000000  318.960 54.740 980.740
29082 2452229.2500000  320.350 58.360 980.800
29082 2452229.5000000  322.250 62.100 982.520
29082 2452229.7500000  324.950 64.590 987.330
29082 2452230.0000000  335.130 67.160 997.340
