 6388 2451957.7500000  324.870 42.160 1009.760
 6388 2451958.0000000  327.830 45.910 1012.480
 6388 2451958.2500000  330.620 51.640 1009.860
 6388 2451958.5000000  334.170 56.560 1008.310
 6388 2451958.7500000  332.990 63.860 993.870
 6388 2451959.0000000  331.810 67.930 991.500
 6388 2451959.2500000  345.310 70.560 993.580
 6388 2451959.5000000  350.050 72.370 990.850
 6388 2451959.7500000  353.570 73.590 987.540
 6388 2451960.0000000  357.890 74.210 990.780
 6388 2451960.2500000  359.980 74.550 993.430
 6388 2451960.5000000  358.000 75.310 993.460
 6388 2451960.7500000  355.440 75.000 985.670
 6388 2451961.0000000  359.840 74.010 983.140
 6388 2451961.2500000  358.340 74.380 983.380
 6388 2451961.5000000  356.740 74.450 986.060
 6388 2451961.7500000  356.290 73.060 986.160
 6388 2451962.0000000  353.970 71.750 990.390
 6388 2451962.2500000  335.550 71.860 1016.390
 6388 2451962.5000000  332.110 71.780 1027.000
