20428 2452124.2500000  274.910 24.910 1014.970
20428 2452124.5000000  274.050 25.300 1013.100
20428 2452124.7500000  273.460 26.200 1013.000
20428 2452125.0000000  272.670 26.510 1012.410
20428 2452125.2500000  272.840 26.580 1012.540
20428 2452125.5000000  272.510 26.380 1009.940
20428 2452125.7500000  272.000 26.670 1010.200
20428 2452126.0000000  272.340 26.970 1009.670
20428 2452126.2500000  272.320 27.210 1010.910
20428 2452126.5000000  272.520 27.420 1008.950
20428 2452126.7500000  272.670 27.700 1010.040
20428 2452127.0000000  272.880 28.030 1010.000
20428 2452127.2500000  272.690 28.680 1011.440
20428 2452127.5000000  272.880 29.210 1010.580
20428 2452127.7500000  272.760 30.310 1012.560
20428 2452128.0000000  272.310 31.120 1014.370
20428 2452128.2500000  270.730 31.580 1016.290
