26050 2452188.2500000  276.090 39.870 1010.990
26050 2452188.5000000  279.420 40.680 1007.020
26050 2452188.7500000  283.880 43.320 1001.200
26050 2452189.0000000  288.000 45.990 995.980
26050 2452189.2500000  292.250 48.800 989.850
26050 2452189.5000000  295.030 51.080 984.740
26050 2452189.7500000  298.710 53.650 977.470
26050 2452190.0000000  301.200 55.930 973.050
26050 2452190.2500000  303.120 57.800 969.110
26050 2452190.5000000  304.940 59.360 970.590
26050 2452190.7500000  306.090 60.580 972.170
26050 2452191.0000000  306.800 61.760 977.240
26050 2452191.2500000  307.690 62.390 979.620
26050 2452191.5000000  309.170 62.620 982.800
26050 2452191.7500000  312.700 62.830 984.590
26050 2452192.0000000  320.510 63.390 978.050
26050 2452192.2500000  332.790 67.110 973.930
26050 2452192.5000000  338.590 68.180 977.820
26050 2452192.7500000  341.590 69.420 977.580
26050 2452193.0000000  342.520 70.400 977.100
26050 2452193.2500000  344.700 71.380 974.080
26050 2452193.5000000  343.450 72.280 974.550
26050 2452193.7500000  339.410 72.660 974.510
26050 2452194.0000000  330.730 72.120 977.500
