24550 2452228.7500000  266.510 53.000 1002.780
24550 2452229.0000000  274.380 52.330 1001.260
24550 2452229.2500000  281.080 52.330 996.950
24550 2452229.5000000  287.230 52.490 994.200
24550 2452229.7500000  293.620 52.990 993.310
24550 2452230.0000000  299.570 53.820 994.310
24550 2452230.2500000  304.520 56.780 992.880
24550 2452230.5000000  306.820 59.410 992.150
24550 2452230.7500000  307.420 57.120 993.870
24550 2452231.0000000  308.790 56.670 991.780
24550 2452231.2500000  309.190 57.310 987.290
24550 2452231.5000000  309.590 58.470 984.050
24550 2452231.7500000  310.270 59.590 978.410
24550 2452232.0000000  310.180 65.450 976.170
24550 2452232.2500000  309.250 69.480 972.790
24550 2452232.5000000  307.160 70.500 980.350
