15470 2452098.5000000  355.160 22.510 1006.930
15470 2452098.7500000  356.970 23.180 1007.180
15470 2452099.0000000  356.730 22.930 1007.060
15470 2452099.2500000  356.730 22.480 1003.630
15470 2452099.5000000  357.300 23.640 1005.000
15470 2452099.7500000  358.020 24.100 1003.860
15470 2452100.0000000  357.060 23.850 1004.180
15470 2452100.2500000  355.860 22.490 1001.390
15470 2452100.5000000  356.570 23.580 1003.760
15470 2452100.7500000  356.560 23.700 1005.380
15470 2452101.0000000  355.770 22.920 1005.890
15470 2452101.2500000  354.540 21.020 1002.490
15470 2452101.5000000  353.850 20.950 1005.560
15470 2452101.7500000  352.800 20.640 1006.610
15470 2452102.0000000  352.460 21.040 1008.420
15470 2452102.2500000  351.230 21.130 1005.500
