21448 2452135.7500000  281.090 34.780 1013.620
21448 2452136.0000000  281.950 34.780 1012.920
21448 2452136.2500000  283.680 35.440 1012.090
21448 2452136.5000000  284.550 34.640 1011.070
21448 2452136.7500000  286.740 35.690 1011.320
21448 2452137.0000000  286.400 35.440 1012.560
21448 2452137.2500000  287.810 36.380 1013.720
21448 2452137.5000000  287.970 35.870 1014.340
21448 2452137.7500000  287.800 35.770 1016.040
21448 2452138.0000000  288.170 35.710 1017.490
21448 2452138.2500000  289.130 36.870 1018.580
21448 2452138.5000000  289.520 37.650 1018.770
