19381 2452112.2500000  352.140 33.550 1009.310
19381 2452112.5000000  352.120 34.210 1011.790
19381 2452112.7500000  352.160 34.530 1011.450
19381 2452113.0000000  352.790 34.180 1012.390
19381 2452113.2500000  353.180 35.090 1010.950
19381 2452113.5000000  353.650 35.810 1012.770
19381 2452113.7500000  354.600 36.430 1012.640
19381 2452114.0000000  355.340 39.440 1011.950
19381 2452114.2500000  355.540 39.570 1009.520
19381 2452114.5000000  354.870 39.440 1012.980
19381 2452114.7500000  354.700 40.040 1013.450
19381 2452115.0000000  356.640 39.860 1012.400
19381 2452115.2500000  356.940 39.720 1011.020
