 4110 2451929.2500000  294.970 40.520 1011.190
 4110 2451929.5000000  300.560 42.420 1008.840
 4110 2451929.7500000  303.330 44.570 1001.950
 4110 2451930.0000000  308.280 46.210 995.800
 4110 2451930.2500000  315.730 47.640 985.830
 4110 2451930.5000000  321.090 49.440 975.870
 4110 2451930.7500000  324.710 50.800 964.490
 4110 2451931.0000000  327.630 51.590 960.070
 4110 2451931.2500000  330.330 52.240 955.510
 4110 2451931.5000000  333.290 52.540 958.490
 4110 2451931.7500000  336.350 53.340 955.820
 4110 2451932.0000000  338.950 54.080 959.790
 4110 2451932.2500000  339.320 55.290 958.260
