26983 2452266.2500000  309.400 42.580 997.770
26983 2452266.5000000  310.740 42.170 998.950
26983 2452266.7500000  312.190 41.480 997.490
26983 2452267.0000000  309.130 46.220 1000.640
26983 2452267.2500000  308.120 46.870 1002.270
26983 2452267.5000000  302.650 49.650 1008.400
26983 2452267.7500000  301.140 50.020 1011.450
26983 2452268.0000000  298.800 52.930 1014.290
26983 2452268.2500000  295.740 57.870 1013.330
26983 2452268.5000000  296.480 60.040 1013.880
26983 2452268.7500000  299.750 62.290 1013.850
26983 2452269.0000000  303.670 64.890 1013.890
26983 2452269.2500000  305.220 65.090 1013.530
