28190 2452215.0000000  320.450 31.870 1016.910
28190 2452215.2500000  319.450 31.080 1013.300
28190 2452215.5000000  318.520 30.950 1012.070
28190 2452215.7500000  317.980 31.540 1008.280
28190 2452216.0000000  317.340 31.780 1007.440
28190 2452216.2500000  316.710 32.300 1003.960
28190 2452216.5000000  316.150 33.230 1003.310
28190 2452216.7500000  313.760 34.790 1000.340
28190 2452217.0000000  310.810 34.770 998.280
28190 2452217.2500000  309.670 33.810 994.390
28190 2452217.5000000  309.220 33.380 995.140
28190 2452217.7500000  310.140 33.740 994.910
28190 2452218.0000000  309.760 34.230 996.770
28190 2452218.2500000  309.800 35.230 996.680
28190 2452218.5000000  309.790 36.170 996.610
28190 2452218.7500000  310.110 36.770 996.120
28190 2452219.0000000  309.560 37.900 996.720
28190 2452219.2500000  309.600 38.760 995.860
28190 2452219.5000000  310.110 39.600 998.880
28190 2452219.7500000  310.230 40.980 999.360
28190 2452220.0000000  310.390 42.970 1003.080
28190 2452220.2500000  310.520 45.060 1002.510
28190 2452220.5000000  309.740 47.700 1002.770
