 5407 2451945.7500000  335.870 45.120 987.280
 5407 2451946.0000000  338.680 48.770 977.650
 5407 2451946.2500000  342.590 50.330 969.010
 5407 2451946.5000000  343.900 51.570 965.350
 5407 2451946.7500000  346.950 52.750 962.870
 5407 2451947.0000000  349.620 54.220 966.590
 5407 2451947.2500000  352.410 55.350 970.870
 5407 2451947.5000000  356.410 56.740 976.350
 5407 2451952.2500000  260.440 89.600 988.980
 5407 2451954.2500000  263.970 80.010 997.110
 5407 2451954.5000000  269.880 77.060 998.250
 5407 2451954.7500000  272.020 74.850 998.520
 5407 2451955.0000000  273.220 73.170 999.260
 5407 2451955.2500000  273.560 71.420 1001.200
 5407 2451955.5000000  275.250 69.600 1003.240
 5407 2451955.7500000  278.490 66.260 1003.840
