12665 2452032.0000000  293.050 25.360 1010.950
12665 2452032.2500000  294.400 25.700 1010.600
12665 2452032.5000000  295.900 26.100 1012.670
12665 2452032.7500000  298.540 27.640 1012.300
12665 2452033.0000000  300.880 28.140 1013.730
12665 2452033.2500000  301.410 27.520 1014.200
12665 2452033.5000000  301.510 26.230 1014.280
12665 2452033.7500000  301.530 26.390 1012.630
12665 2452034.0000000  301.630 26.030 1013.620
12665 2452034.2500000  301.950 26.190 1013.570
12665 2452034.5000000  301.840 25.630 1013.260
12665 2452034.7500000  302.570 25.690 1011.660
12665 2452035.0000000  302.260 26.120 1012.250
12665 2452035.2500000  302.420 25.960 1011.780
