 6723 2451961.5000000  284.930 47.440 1009.470
 6723 2451961.7500000  289.710 48.120 1005.200
 6723 2451962.0000000  294.240 49.400 1001.470
 6723 2451962.2500000  296.710 52.010 995.990
 6723 2451962.5000000  298.300 54.360 993.760
 6723 2451962.7500000  301.880 53.430 993.990
 6723 2451963.0000000  301.060 56.710 990.980
 6723 2451963.2500000  301.430 57.420 986.440
 6723 2451963.5000000  300.860 58.540 985.930
 6723 2451963.7500000  296.770 60.850 985.310
 6723 2451964.0000000  298.090 61.540 992.210
 6723 2451964.2500000  297.510 62.570 996.460
