 4014 2451940.5000000  264.340 50.440 1004.920
 4014 2451940.7500000  265.590 50.170 1005.770
 4014 2451941.0000000  267.130 49.690 1007.000
 4014 2451941.2500000  268.430 48.890 1007.790
 4014 2451941.5000000  269.200 47.790 1009.680
 4014 2451941.7500000  270.700 47.380 1010.340
 4014 2451942.0000000  272.470 47.030 1012.780
 4014 2451942.2500000  273.980 46.790 1013.800
 4014 2451942.5000000  275.520 46.520 1015.670
 4014 2451942.7500000  277.110 45.810 1014.390
 4014 2451943.0000000  279.960 45.380 1012.040
 4014 2451943.2500000  283.200 45.530 1008.290
 4014 2451943.5000000  286.090 45.860 1007.680
 4014 2451943.7500000  288.740 45.630 1008.490
 4014 2451944.0000000  290.260 46.160 1011.350
