 4457 2451933.7500000  329.450 61.120 957.060
 4457 2451934.0000000  326.210 61.890 962.600
 4457 2451934.2500000  324.170 61.930 965.750
 4457 2451934.5000000  322.910 61.590 969.650
 4457 2451934.7500000  321.700 61.420 971.440
 4457 2451935.0000000  320.930 61.160 973.570
 4457 2451935.2500000  321.590 60.860 975.490
 4457 2451935.5000000  322.900 60.610 976.750
 4457 2451935.7500000  324.810 60.570 977.720
 4457 2451936.0000000  332.450 61.530 978.060
 4457 2451936.2500000  333.330 61.800 978.000
 4457 2451936.5000000  331.530 61.960 978.730
 4457 2451936.7500000  335.570 62.400 978.580
 4457 2451937.0000000  336.420 61.870 983.020
