23510 2452211.7500000  300.030 38.120 1013.980
23510 2452212.0000000  299.820 38.770 1014.180
23510 2452212.2500000  299.710 39.330 1010.520
23510 2452212.5000000  299.990 40.000 1009.520
23510 2452212.7500000  301.300 40.780 1004.960
23510 2452213.0000000  302.930 41.410 1002.980
23510 2452213.2500000  305.660 42.070 1000.230
23510 2452213.5000000  308.750 42.300 1001.650
23510 2452213.7500000  313.670 46.280 997.710
23510 2452214.0000000  317.540 50.060 995.790
23510 2452214.2500000  320.270 52.970 990.800
23510 2452214.5000000  319.250 54.620 989.570
23510 2452214.7500000  321.400 55.620 990.060
