18365 2452139.5000000  268.440 48.410 1010.620
18365 2452139.7500000  268.440 46.370 1011.110
18365 2452140.0000000  268.800 44.560 1011.080
18365 2452140.2500000  270.730 42.280 1011.040
18365 2452140.5000000  272.260 40.960 1009.030
18365 2452140.7500000  274.040 42.070 1008.280
18365 2452141.0000000  275.230 42.290 1008.030
18365 2452141.2500000  276.690 42.370 1008.410
18365 2452141.5000000  277.890 42.430 1008.780
18365 2452141.7500000  279.200 43.250 1009.550
18365 2452142.0000000  280.140 43.950 1010.070
18365 2452142.2500000  281.230 44.220 1011.090
18365 2452142.5000000  282.630 44.620 1011.270
18365 2452142.7500000  283.010 45.560 1011.840
18365 2452143.0000000  284.500 46.690 1012.610
