15465 2452099.7500000  260.600 38.720 1011.750
15465 2452100.2500000  260.410 37.720 1012.850
15465 2452100.7500000  260.550 37.990 1010.910
15465 2452101.2500000  260.550 37.290 1011.350
15465 2452102.7500000  261.240 37.440 1009.160
15465 2452103.0000000  261.450 37.100 1010.600
15465 2452103.2500000  261.400 36.340 1011.140
15465 2452103.5000000  260.650 35.350 1008.780
15465 2452103.7500000  261.510 34.320 1011.400
15465 2452104.0000000  261.600 33.890 1013.390
15465 2452104.2500000  260.770 32.470 1014.490
