 4860 2451953.0000000  315.070 59.110 973.810
 4860 2451953.2500000  321.800 62.890 965.850
 4860 2451953.5000000  322.560 63.680 969.600
 4860 2451953.7500000  323.670 64.420 972.100
 4860 2451954.0000000  324.520 64.870 976.080
 4860 2451954.2500000  319.970 63.390 977.840
 4860 2451954.5000000  319.370 63.670 976.960
 4860 2451954.7500000  319.480 63.760 976.400
 4860 2451955.0000000  320.220 64.360 980.140
 4860 2451955.2500000  319.630 64.790 983.570
 4860 2451955.5000000  319.190 64.840 987.410
 4860 2451955.7500000  320.080 64.310 992.760
 4860 2451956.0000000  321.150 65.000 994.840
 4860 2451956.2500000  321.980 65.880 995.230
 4860 2451956.5000000  324.200 65.350 994.420
 4860 2451956.7500000  325.930 66.080 992.510
 4860 2451957.0000000  329.300 68.320 991.710
 4860 2451957.2500000  327.500 68.550 997.380
