 5281 2451959.0000000  307.330 40.440 1008.920
 5281 2451959.2500000  309.800 39.420 1012.600
 5281 2451959.5000000  310.640 37.910 1016.360
 5281 2451959.7500000  309.800 36.230 1017.400
 5281 2451960.0000000  310.010 35.970 1018.350
 5281 2451960.2500000  311.460 36.790 1016.560
 5281 2451960.5000000  313.900 38.310 1017.020
 5281 2451960.7500000  315.210 38.670 1015.300
 5281 2451961.0000000  316.450 40.440 1014.390
 5281 2451961.2500000  316.660 42.360 1011.140
 5281 2451961.5000000  316.930 43.580 1011.080
 5281 2451961.7500000  317.110 44.350 1009.030
 5281 2451962.0000000  317.640 45.430 1010.030
 5281 2451962.2500000  318.530 46.790 1009.030
 5281 2451962.5000000  318.980 50.320 1010.520
 5281 2451962.7500000  318.690 53.880 1009.820
 5281 2451963.0000000  317.520 55.840 1008.400
