 9914 2452022.5000000  284.840 9.410 1009.580
 9914 2452022.7500000  284.470 9.540 1010.720
 9914 2452023.0000000  283.550 9.620 1010.550
 9914 2452023.2500000  285.050 9.180 1009.950
 9914 2452023.5000000  284.760 9.520 1008.580
 9914 2452023.7500000  284.510 9.570 1010.320
 9914 2452024.0000000  283.560 9.820 1010.600
 9914 2452024.2500000  284.880 9.390 1009.790
 9914 2452024.5000000  284.480 9.570 1008.970
 9914 2452024.7500000  284.400 9.780 1010.430
 9914 2452025.0000000  283.790 9.800 1010.400
 9914 2452025.2500000  285.080 9.690 1009.760
 9914 2452025.5000000  284.440 10.060 1009.510
 9914 2452025.7500000  284.180 10.250 1011.170
 9914 2452026.0000000  283.380 9.950 1010.920
