 3197 2451917.7500000  286.690 38.420 1011.320
 3197 2451918.0000000  285.470 37.340 1010.150
 3197 2451918.2500000  287.000 37.520 1007.250
 3197 2451918.5000000  288.880 38.830 1003.960
 3197 2451918.7500000  296.030 40.600 1002.020
 3197 2451919.0000000  299.980 41.860 999.750
 3197 2451919.2500000  302.290 42.740 996.510
 3197 2451919.5000000  302.600 42.490 994.480
 3197 2451919.7500000  306.890 44.920 991.050
 3197 2451920.0000000  310.840 47.940 990.520
 3197 2451920.2500000  313.630 50.760 987.500
 3197 2451920.5000000  316.840 55.140 985.690
 3197 2451920.7500000  317.750 58.490 981.700
 3197 2451921.0000000  313.910 63.590 982.270
