19917 2452121.5000000  261.260 59.430 993.760
19917 2452121.7500000  263.460 60.670 993.520
19917 2452122.0000000  264.740 61.730 994.130
19917 2452122.2500000  267.460 62.750 994.080
19917 2452122.5000000  266.060 66.310 993.770
19917 2452122.7500000  267.830 66.670 992.250
19917 2452123.0000000  267.780 67.610 991.410
19917 2452123.2500000  268.860 68.290 990.790
19917 2452123.5000000  269.940 68.550 990.940
19917 2452123.7500000  271.050 68.480 990.960
19917 2452124.0000000  271.660 68.170 991.520
19917 2452124.2500000  272.460 67.820 993.600
19917 2452124.5000000  275.670 66.230 995.980
19917 2452124.7500000  278.120 65.730 996.550
19917 2452125.0000000  280.070 66.210 998.090
19917 2452125.2500000  277.840 66.760 998.920
19917 2452125.5000000  275.360 66.860 998.920
19917 2452125.7500000  275.040 66.980 998.850
19917 2452126.0000000  273.600 67.650 999.470
19917 2452126.2500000  273.100 64.520 998.430
19917 2452126.5000000  275.470 64.270 998.770
19917 2452126.7500000  279.490 62.610 998.000
19917 2452127.0000000  284.180 61.540 998.800
19917 2452127.2500000  289.260 60.680 999.770
19917 2452127.5000000  289.650 60.410 1002.410
