 8005 2451977.5000000  263.480 67.140 997.180
 8005 2451977.7500000  268.460 66.620 994.440
 8005 2451978.0000000  272.600 66.260 991.090
 8005 2451978.2500000  276.200 66.190 988.970
 8005 2451978.5000000  277.510 66.230 987.850
 8005 2451978.7500000  278.690 66.420 986.560
 8005 2451979.0000000  278.870 66.460 986.060
 8005 2451979.2500000  278.980 66.470 985.070
 8005 2451979.5000000  279.070 67.110 986.540
 8005 2451979.7500000  277.820 67.730 987.630
 8005 2451980.0000000  276.180 67.800 990.690
 8005 2451980.2500000  275.770 68.100 993.640
 8005 2451980.5000000  274.870 68.550 996.100
 8005 2451980.7500000  273.890 69.180 998.060
 8005 2451981.0000000  272.400 69.870 1000.130
 8005 2451981.2500000  265.770 74.380 1000.680
 8005 2451981.5000000  266.240 76.520 1001.020
 8005 2451981.7500000  264.030 78.140 1001.980
 8005 2451984.2500000  273.980 70.880 1010.980
 8005 2451984.5000000  268.830 73.080 1010.700
 8005 2451984.7500000  265.360 74.470 1011.350
 8005 2451985.0000000  260.960 75.270 1013.600
