 5875 2451951.7500000  359.580 59.190 1000.070
 5875 2451952.2500000  348.210 68.450 985.170
 5875 2451952.5000000  352.790 69.070 984.860
 5875 2451952.7500000  355.490 71.210 986.540
 5875 2451953.0000000  357.950 73.580 986.680
 5875 2451953.2500000  359.440 76.650 983.630
 5875 2451954.0000000  359.600 84.260 975.360
 5875 2451954.2500000  350.200 85.980 974.020
 5875 2451954.5000000  327.830 86.990 976.990
 5875 2451954.7500000  299.480 87.030 980.360
 5875 2451955.0000000  284.670 86.260 983.020
 5875 2451955.2500000  273.220 85.650 986.330
 5875 2451955.5000000  269.050 84.950 989.020
 5875 2451955.7500000  260.260 84.130 992.200
 5875 2451956.2500000  262.050 81.630 994.980
 5875 2451956.7500000  264.120 77.420 993.700
 5875 2451957.0000000  266.350 78.360 994.930
 5875 2451957.2500000  263.600 79.790 995.780
 5875 2451957.5000000  261.280 79.710 997.380
 5875 2451957.7500000  262.420 77.730 998.440
 5875 2451958.0000000  265.130 76.130 995.640
 5875 2451958.2500000  267.460 75.250 994.390
 5875 2451958.5000000  268.880 73.870 996.750
 5875 2451958.7500000  270.060 71.980 998.080
 5875 2451959.0000000  272.650 68.580 999.230
 5875 2451959.2500000  270.980 69.590 1000.360
 5875 2451959.5000000  267.060 68.940 1002.670
