16684 2452079.7500000  333.920 41.240 1011.830
16684 2452080.0000000  333.560 40.330 1012.110
16684 2452080.2500000  332.720 41.120 1011.660
16684 2452080.5000000  332.570 42.160 1011.520
16684 2452080.7500000  332.020 43.300 1010.040
16684 2452081.0000000  331.330 44.390 1008.560
16684 2452081.2500000  331.760 44.980 1006.070
16684 2452081.5000000  332.190 45.800 1004.570
16684 2452081.7500000  332.360 46.980 1003.620
16684 2452082.0000000  333.060 47.860 1004.340
16684 2452082.2500000  334.010 48.910 1004.310
16684 2452082.5000000  334.660 50.350 1005.190
16684 2452082.7500000  334.490 51.840 1002.630
16684 2452083.0000000  334.120 53.020 1001.210
16684 2452083.2500000  332.330 52.810 998.210
16684 2452083.5000000  333.480 53.770 998.920
16684 2452083.7500000  333.870 54.220 997.620
16684 2452084.0000000  334.030 54.210 999.140
16684 2452084.2500000  334.740 54.380 999.720
16684 2452084.5000000  336.280 54.930 1000.280
16684 2452084.7500000  336.880 55.330 1000.730
16684 2452085.0000000  337.530 56.470 1002.660
16684 2452085.2500000  337.890 57.260 1004.040
16684 2452085.5000000  338.800 58.130 1006.860
16684 2452085.7500000  339.770 58.940 1008.920
16684 2452086.0000000  340.870 59.650 1011.300
16684 2452086.2500000  342.100 60.160 1013.020
16684 2452086.5000000  342.920 60.830 1014.400
16684 2452086.7500000  343.950 61.080 1015.790
16684 2452087.0000000  344.910 61.290 1015.140
16684 2452087.2500000  345.510 61.200 1014.360
