12575 2452061.2500000  261.100 55.800 1005.160
12575 2452061.5000000  264.330 53.940 1006.140
12575 2452061.7500000  265.230 50.530 1005.790
12575 2452062.0000000  266.220 49.030 1004.180
12575 2452062.2500000  267.360 46.340 1001.250
12575 2452062.5000000  269.520 44.380 999.530
12575 2452062.7500000  271.420 43.720 998.100
12575 2452063.0000000  273.360 43.410 997.880
12575 2452063.2500000  275.340 43.660 999.210
12575 2452063.5000000  277.010 43.760 1000.790
12575 2452063.7500000  278.900 43.890 1001.760
12575 2452064.0000000  282.580 44.210 1002.730
12575 2452064.2500000  284.990 44.860 1002.520
12575 2452064.5000000  286.010 45.720 1004.120
12575 2452064.7500000  287.120 46.190 1005.040
12575 2452065.0000000  288.260 46.450 1006.420
12575 2452065.2500000  290.260 46.080 1007.140
12575 2452065.5000000  292.120 46.680 1007.900
12575 2452065.7500000  293.070 47.410 1007.490
12575 2452066.0000000  293.300 47.990 1008.210
12575 2452066.2500000  293.200 47.530 1007.580
12575 2452066.5000000  294.380 47.420 1006.970
12575 2452066.7500000  296.080 47.850 1005.440
12575 2452067.0000000  296.900 48.230 1005.490
12575 2452067.2500000  297.000 52.580 1006.710
12575 2452067.5000000  298.880 52.160 1008.100
