26902 2452265.0000000  331.810 70.750 1023.400
26902 2452265.2500000  334.490 70.780 1018.660
26902 2452265.5000000  333.930 70.130 1014.490
26902 2452265.7500000  335.600 69.730 1010.360
26902 2452266.0000000  337.530 69.840 1005.440
26902 2452266.2500000  344.080 74.630 996.030
26902 2452266.5000000  357.710 77.060 992.860
26902 2452271.5000000  358.970 67.710 990.220
26902 2452271.7500000  358.450 66.450 991.370
26902 2452272.0000000  358.320 65.390 994.160
26902 2452272.2500000  357.610 64.030 995.360
26902 2452272.5000000  357.860 62.030 995.920
26902 2452272.7500000  358.750 60.250 994.620
26902 2452273.5000000  359.610 66.870 1010.540
26902 2452273.7500000  357.130 67.940 1013.000
26902 2452274.0000000  355.890 68.690 1014.260
26902 2452274.2500000  351.720 70.940 1012.000
26902 2452274.5000000  350.350 71.310 1009.470
26902 2452274.7500000  349.600 71.020 1005.920
26902 2452275.0000000  349.350 71.410 1004.760
