21691 2452139.2500000  264.620 75.560 995.180
21691 2452139.5000000  270.550 76.560 993.790
21691 2452139.7500000  269.180 77.910 992.590
21691 2452140.0000000  279.640 77.140 991.920
21691 2452140.2500000  280.840 77.510 990.300
21691 2452140.5000000  277.870 77.560 990.620
21691 2452140.7500000  275.430 76.580 992.950
21691 2452141.0000000  278.490 75.020 994.370
21691 2452141.2500000  279.280 74.530 994.420
21691 2452141.5000000  282.000 73.630 995.280
21691 2452141.7500000  286.520 73.370 997.180
21691 2452142.0000000  282.980 72.040 999.120
21691 2452142.2500000  279.940 70.890 1001.140
21691 2452142.5000000  280.260 70.380 1003.280
21691 2452142.7500000  282.960 68.890 1005.370
21691 2452143.0000000  287.340 68.400 1005.520
