18372 2452100.7500000  289.120 53.520 1003.240
18372 2452101.0000000  289.690 53.840 1003.400
18372 2452101.2500000  286.860 48.900 1002.400
18372 2452101.5000000  287.970 47.510 1002.240
18372 2452101.7500000  289.250 48.500 1001.920
18372 2452102.0000000  288.400 49.690 1002.350
18372 2452102.2500000  288.440 48.220 1001.490
18372 2452102.5000000  289.400 47.470 1001.940
18372 2452102.7500000  291.070 47.940 1001.010
18372 2452103.0000000  290.860 48.640 1000.780
18372 2452103.2500000  290.480 48.960 1000.200
18372 2452103.5000000  289.940 49.370 1000.080
18372 2452103.7500000  289.780 49.380 999.720
18372 2452104.0000000  290.700 49.390 1000.830
18372 2452104.2500000  290.060 50.190 1001.320
18372 2452104.5000000  289.970 49.940 1003.530
18372 2452104.7500000  290.010 49.130 1004.250
18372 2452105.0000000  289.970 48.160 1005.750
18372 2452105.2500000  292.630 47.220 1004.990
18372 2452105.5000000  291.190 47.800 1006.310
18372 2452105.7500000  292.000 47.380 1008.050
18372 2452106.0000000  290.510 47.750 1011.090
18372 2452106.2500000  292.660 45.520 1011.420
18372 2452106.5000000  292.690 43.710 1012.510
18372 2452106.7500000  292.730 43.980 1013.330
