 6958 2451964.2500000  318.200 60.440 1012.550
 6958 2451964.5000000  318.960 62.040 1012.080
 6958 2451964.7500000  320.140 62.920 1010.960
 6958 2451965.0000000  320.570 63.250 1012.390
 6958 2451965.2500000  323.680 63.100 1015.130
 6958 2451965.5000000  335.380 63.880 1015.370
 6958 2451965.7500000  345.630 61.090 1011.770
 6958 2451966.0000000  347.640 59.520 1009.680
 6958 2451966.2500000  350.580 57.240 1006.270
 6958 2451966.5000000  351.840 56.330 1003.950
 6958 2451966.7500000  353.260 55.310 999.320
 6958 2451967.0000000  355.310 54.290 994.570
 6958 2451967.2500000  356.400 53.260 989.680
 6958 2451967.5000000  356.780 52.140 988.500
 6958 2451967.7500000  356.670 49.730 986.290
 6958 2451968.0000000  357.330 48.250 987.570
 6958 2451968.2500000  358.320 47.670 988.110
 6958 2451968.5000000  359.280 47.780 990.090
