 7968 2451996.2500000  292.030 7.810 1009.260
 7968 2451996.5000000  291.640 7.860 1007.660
 7968 2451996.7500000  291.500 7.500 1010.220
 7968 2451997.0000000  291.140 6.950 1011.870
 7968 2451997.2500000  291.900 7.620 1009.070
 7968 2451997.5000000  291.690 7.720 1007.700
 7968 2451997.7500000  291.450 7.390 1009.520
 7968 2451998.0000000  291.070 6.960 1012.430
 7968 2451998.2500000  292.480 7.760 1010.100
 7968 2451998.5000000  292.010 7.960 1009.100
 7968 2451998.7500000  291.630 7.600 1011.070
