29500 2452232.2500000  343.820 71.030 1008.120
29500 2452232.5000000  343.640 71.360 1005.630
29500 2452232.7500000  343.190 71.980 1001.780
29500 2452233.0000000  343.250 74.680 992.580
29500 2452233.2500000  346.950 75.950 981.910
29500 2452233.5000000  354.060 77.410 974.910
29500 2452233.7500000  358.070 78.500 970.490
29500 2452237.7500000  285.910 89.780 992.960
29500 2452238.0000000  267.890 88.340 995.950
29500 2452238.2500000  277.390 87.380 998.450
29500 2452238.5000000  272.550 85.260 999.970
