 4078 2451941.5000000  309.310 67.440 984.240
 4078 2451941.7500000  308.990 68.010 986.830
 4078 2451942.0000000  309.480 68.030 989.620
 4078 2451942.2500000  308.960 68.940 992.840
 4078 2451942.5000000  309.640 68.510 995.450
 4078 2451942.7500000  309.180 69.540 997.180
 4078 2451943.0000000  310.040 69.730 994.360
 4078 2451943.2500000  311.900 69.110 988.190
 4078 2451943.5000000  310.200 70.030 989.280
 4078 2451943.7500000  297.420 76.130 990.270
 4078 2451944.0000000  294.050 77.770 994.890
 4078 2451944.2500000  304.090 80.820 998.460
 4078 2451944.5000000  335.830 83.310 1000.860
 4078 2451944.7500000  344.440 82.180 1006.290
 4078 2451945.0000000  346.670 80.940 1011.470
 4078 2451945.2500000  317.620 81.950 1010.980
 4078 2451945.5000000  317.570 81.940 1010.870
 4078 2451945.7500000  319.560 82.160 1010.880
 4078 2451946.0000000  350.130 81.100 1012.400
 4078 2451946.2500000  353.400 79.770 1014.750
