 2792 2451912.5000000  305.590 63.970 990.220
 2792 2451912.7500000  305.700 64.230 990.730
 2792 2451913.0000000  305.510 64.890 991.260
 2792 2451913.2500000  304.670 67.460 990.090
 2792 2451913.5000000  303.460 69.930 988.880
 2792 2451913.7500000  298.160 73.230 988.480
 2792 2451914.0000000  285.620 75.720 989.040
 2792 2451914.2500000  272.820 75.950 988.770
 2792 2451914.5000000  264.060 75.850 990.790
 2792 2451915.5000000  265.310 71.020 998.320
 2792 2451915.7500000  266.500 71.260 999.180
 2792 2451916.0000000  270.690 68.670 1002.510
