24604 2452170.7500000  359.650 27.900 1006.080
24604 2452171.0000000  356.670 29.260 1006.080
24604 2452171.2500000  356.490 29.250 1002.560
24604 2452171.5000000  357.560 29.620 1004.740
24604 2452171.7500000  357.350 29.270 1004.920
24604 2452172.0000000  356.240 29.420 1005.050
24604 2452172.2500000  355.490 28.850 1003.490
24604 2452172.5000000  356.720 29.120 1006.710
24604 2452172.7500000  357.630 29.270 1007.580
24604 2452173.0000000  355.760 29.400 1009.020
24604 2452173.2500000  356.770 29.470 1007.170
24604 2452173.5000000  356.930 29.760 1010.320
24604 2452173.7500000  359.620 29.960 1011.280
24604 2452174.0000000  357.370 30.460 1011.190
24604 2452174.2500000  357.120 29.960 1008.080
24604 2452174.5000000  357.090 30.200 1010.500
