 2472 2451915.7500000  289.090 39.010 999.250
 2472 2451916.0000000  291.920 39.800 996.400
 2472 2451916.2500000  293.100 41.520 992.590
 2472 2451916.5000000  296.910 41.630 990.190
 2472 2451916.7500000  298.250 43.150 985.140
 2472 2451917.0000000  299.820 44.380 983.400
 2472 2451917.2500000  300.880 45.220 982.410
 2472 2451917.5000000  302.820 45.580 985.400
 2472 2451917.7500000  305.740 46.190 989.320
 2472 2451918.0000000  314.700 49.060 989.060
 2472 2451918.2500000  314.190 50.110 985.070
 2472 2451918.5000000  313.270 50.810 985.390
 2472 2451918.7500000  311.660 51.970 986.900
 2472 2451919.0000000  307.270 55.340 985.700
 2472 2451919.2500000  305.400 57.390 979.740
 2472 2451919.5000000  303.870 59.030 976.650
 2472 2451919.7500000  302.740 59.540 977.940
 2472 2451920.0000000  302.870 59.500 982.800
 2472 2451920.2500000  303.560 59.670 985.710
 2472 2451920.5000000  304.410 59.780 986.340
 2472 2451920.7500000  305.510 59.510 984.250
 2472 2451921.0000000  306.810 59.350 983.700
 2472 2451921.2500000  308.370 58.600 984.250
 2472 2451921.5000000  311.890 57.660 984.580
 2472 2451921.7500000  319.130 54.680 971.830
