27087 2452268.0000000  287.150 40.130 1007.600
27087 2452268.2500000  288.610 42.100 1003.470
27087 2452268.5000000  290.490 43.800 1002.870
27087 2452268.7500000  291.700 45.310 1003.790
27087 2452269.0000000  293.640 45.580 1006.690
27087 2452269.2500000  295.070 46.700 1007.070
27087 2452269.5000000  296.720 48.240 1008.230
27087 2452269.7500000  295.690 51.450 1006.590
27087 2452270.0000000  295.450 53.250 1004.690
27087 2452270.2500000  293.720 55.480 1000.600
27087 2452270.5000000  291.490 57.340 998.310
27087 2452270.7500000  287.540 58.980 995.560
27087 2452271.0000000  282.440 59.780 994.930
27087 2452271.2500000  277.640 59.810 995.150
27087 2452271.5000000  272.660 58.350 997.940
27087 2452271.7500000  270.500 57.180 1000.670
27087 2452272.0000000  268.750 55.450 1003.820
