 7824 2451994.2500000  342.710 53.450 1001.540
 7824 2451994.5000000  342.650 54.330 999.060
 7824 2451994.7500000  343.190 54.460 995.720
 7824 2451995.0000000  343.890 53.860 995.290
 7824 2451995.2500000  344.420 52.980 995.050
 7824 2451995.5000000  346.370 51.970 996.440
 7824 2451995.7500000  348.440 51.200 996.570
 7824 2451996.0000000  350.880 51.480 997.190
 7824 2451996.2500000  348.060 53.380 994.940
 7824 2451996.5000000  350.480 53.550 993.110
 7824 2451996.7500000  350.100 54.160 990.490
 7824 2451997.0000000  351.050 54.090 989.310
 7824 2451997.2500000  353.050 53.530 988.850
