10053 2452025.5000000  264.400 57.760 992.460
10053 2452025.7500000  269.750 57.050 989.240
10053 2452026.0000000  274.880 56.600 987.850
10053 2452026.2500000  279.340 56.900 987.550
10053 2452026.5000000  283.850 58.020 988.050
10053 2452026.7500000  287.810 59.100 990.490
10053 2452027.0000000  291.260 59.860 992.210
10053 2452027.2500000  294.300 60.870 996.650
10053 2452027.5000000  296.890 61.920 998.200
10053 2452027.7500000  297.870 62.680 997.780
10053 2452028.0000000  298.650 63.150 998.440
10053 2452028.2500000  299.180 63.510 1001.400
10053 2452028.5000000  300.370 62.910 1003.790
