 5183 2451957.5000000  286.830 38.240 1011.470
 5183 2451957.7500000  291.030 39.990 1005.030
 5183 2451958.0000000  295.400 41.710 997.680
 5183 2451958.2500000  299.500 43.890 988.860
 5183 2451958.5000000  302.350 46.660 982.520
 5183 2451958.7500000  304.930 49.280 975.900
 5183 2451959.0000000  307.570 51.980 970.740
 5183 2451959.2500000  309.670 55.240 964.720
 5183 2451959.5000000  311.560 58.520 966.260
 5183 2451959.7500000  314.560 60.930 975.400
 5183 2451960.0000000  319.870 64.520 982.190
 5183 2451960.2500000  323.320 65.680 989.280
 5183 2451960.5000000  327.480 67.260 991.410
 5183 2451960.7500000  329.710 67.510 994.480
 5183 2451961.0000000  334.720 69.150 993.880
 5183 2451961.2500000  332.670 68.490 995.460
 5183 2451961.5000000  332.390 67.840 997.300
 5183 2451961.7500000  334.290 67.890 1002.740
 5183 2451962.0000000  334.540 67.470 1007.580
