27745 2452210.7500000  262.170 60.890 996.030
27745 2452211.0000000  266.060 61.000 995.770
27745 2452211.2500000  268.480 60.690 995.070
27745 2452211.5000000  272.720 59.770 995.530
27745 2452211.7500000  279.530 58.390 993.580
27745 2452212.0000000  284.960 58.180 992.300
27745 2452212.2500000  289.730 58.760 992.650
27745 2452212.5000000  295.980 59.460 993.100
27745 2452212.7500000  300.540 60.550 990.510
27745 2452213.0000000  302.850 61.660 989.400
27745 2452213.2500000  304.030 62.330 990.710
27745 2452213.5000000  305.030 62.530 993.280
27745 2452213.7500000  305.260 62.300 994.730
27745 2452214.0000000  305.800 61.040 996.370
27745 2452214.2500000  308.680 59.960 996.510
27745 2452214.5000000  309.350 57.290 996.280
27745 2452214.7500000  312.030 55.530 998.200
27745 2452215.0000000  315.640 54.430 1004.270
