14558 2452086.2500000  284.610 9.450 1010.040
14558 2452086.5000000  284.150 9.820 1009.820
14558 2452086.7500000  283.790 9.860 1010.160
14558 2452087.0000000  283.100 9.640 1009.000
14558 2452087.2500000  284.320 9.180 1007.970
14558 2452087.5000000  284.470 9.500 1007.650
14558 2452087.7500000  284.100 9.610 1008.540
14558 2452088.0000000  283.130 9.850 1008.440
14558 2452088.2500000  284.480 9.410 1008.340
14558 2452088.5000000  284.510 9.620 1008.120
14558 2452088.7500000  284.160 9.630 1009.390
14558 2452089.0000000  283.330 10.030 1009.340
14558 2452089.2500000  284.720 9.420 1008.800
14558 2452089.5000000  284.850 9.680 1008.110
14558 2452089.7500000  284.470 10.000 1009.090
14558 2452090.0000000  283.310 10.380 1009.060
14558 2452090.2500000  284.300 9.740 1008.450
14558 2452090.5000000  284.660 9.860 1008.240
14558 2452090.7500000  281.100 5.700 1011.030
14558 2452091.0000000  279.480 6.740 1009.510
14558 2452091.2500000  285.370 9.550 1009.080
14558 2452091.5000000  285.000 10.440 1008.530
