15801 2452069.2500000  281.540 36.900 1012.340
15801 2452069.5000000  281.830 35.060 1010.730
15801 2452069.7500000  286.500 34.290 1010.570
15801 2452070.0000000  290.700 34.160 1010.890
15801 2452070.2500000  293.620 34.200 1011.130
15801 2452070.5000000  293.520 34.050 1011.410
15801 2452070.7500000  298.520 35.940 1010.440
15801 2452071.0000000  301.890 35.720 1010.710
15801 2452071.2500000  305.120 36.250 1011.440
15801 2452071.5000000  308.020 36.610 1012.380
15801 2452071.7500000  309.700 37.010 1012.800
15801 2452072.0000000  312.710 37.940 1013.760
15801 2452072.2500000  316.740 40.340 1013.940
15801 2452072.5000000  317.510 40.760 1014.180
15801 2452072.7500000  321.700 42.000 1012.650
15801 2452073.0000000  325.030 43.520 1012.690
15801 2452073.2500000  328.040 44.220 1010.460
15801 2452073.5000000  331.070 44.920 1011.050
15801 2452073.7500000  334.480 45.520 1007.690
15801 2452074.0000000  337.740 47.150 1005.370
15801 2452074.2500000  340.110 48.280 1001.230
15801 2452074.5000000  341.780 49.220 997.740
15801 2452074.7500000  343.070 49.560 996.510
15801 2452075.0000000  344.710 49.790 996.460
15801 2452075.2500000  346.120 49.910 995.900
15801 2452075.5000000  347.460 49.910 996.860
15801 2452075.7500000  348.570 49.980 997.160
15801 2452076.0000000  349.890 50.010 997.500
15801 2452076.2500000  351.800 50.460 998.530
15801 2452076.5000000  353.870 50.400 1000.490
15801 2452076.7500000  356.370 50.800 1001.050
15801 2452077.0000000  358.580 51.460 1002.670
