 3198 2451927.7500000  303.210 47.200 1010.030
 3198 2451928.0000000  306.060 46.810 1010.610
 3198 2451928.2500000  309.460 46.950 1010.760
 3198 2451928.5000000  315.310 43.660 1011.760
 3198 2451928.7500000  319.370 44.740 1007.700
 3198 2451929.0000000  323.260 46.520 1006.000
 3198 2451929.2500000  327.880 48.420 999.430
 3198 2451929.5000000  332.200 50.700 993.890
 3198 2451929.7500000  334.380 52.710 987.690
 3198 2451930.0000000  337.330 54.910 987.220
 3198 2451930.2500000  338.950 57.740 982.730
 3198 2451930.5000000  339.500 60.200 978.580
 3198 2451930.7500000  338.210 62.920 976.420
 3198 2451931.0000000  336.010 65.440 974.290
 3198 2451931.2500000  333.420 66.770 977.150
 3198 2451931.5000000  340.630 68.520 984.890
 3198 2451931.7500000  343.630 70.810 987.900
 3198 2451932.0000000  345.550 72.700 990.760
 3198 2451932.2500000  348.320 74.760 992.160
 3198 2451932.5000000  344.650 79.600 989.200
