15806 2452069.2500000  312.160 40.760 1007.680
15806 2452069.5000000  315.000 40.760 1007.360
15806 2452069.7500000  317.490 40.900 1005.450
15806 2452070.0000000  319.880 42.200 1006.450
15806 2452070.2500000  322.070 43.170 1005.630
15806 2452070.5000000  324.380 44.400 1004.660
15806 2452070.7500000  326.450 46.070 1002.400
15806 2452071.0000000  327.910 47.360 1002.760
15806 2452071.2500000  329.360 48.420 1002.750
15806 2452071.5000000  331.430 49.490 1004.270
15806 2452071.7500000  332.900 50.480 1003.560
15806 2452072.0000000  334.010 51.490 1005.110
15806 2452072.2500000  335.170 52.370 1005.010
15806 2452072.5000000  335.810 53.090 1005.100
15806 2452072.7500000  337.230 53.030 1005.700
15806 2452073.0000000  338.840 52.620 1007.870
15806 2452073.2500000  340.350 52.040 1009.460
15806 2452073.5000000  340.810 51.510 1010.690
15806 2452073.7500000  338.660 51.180 1009.640
