14050 2452079.0000000  317.590 83.160 1007.500
14050 2452079.2500000  314.170 82.740 1004.910
14050 2452079.5000000  319.090 82.510 1003.900
14050 2452079.7500000  314.230 82.500 1001.660
14050 2452080.0000000  316.060 82.790 1000.690
14050 2452080.2500000  313.960 83.420 999.420
14050 2452080.5000000  305.770 84.020 999.410
14050 2452080.7500000  302.720 83.620 998.220
14050 2452081.0000000  300.830 84.240 997.890
14050 2452081.2500000  299.540 84.820 997.470
14050 2452081.5000000  299.370 86.080 998.560
14050 2452081.7500000  290.930 87.190 999.510
14050 2452082.0000000  265.190 88.290 1001.360
