31386 2452256.7500000  262.610 26.140 1012.420
31386 2452257.0000000  262.860 26.440 1009.970
31386 2452257.2500000  265.460 28.670 1010.510
31386 2452257.5000000  268.530 31.320 1009.370
31386 2452257.7500000  270.540 34.850 1007.660
31386 2452258.0000000  274.030 37.700 1004.000
31386 2452258.2500000  277.880 40.370 1002.940
31386 2452258.5000000  282.650 41.590 1004.630
31386 2452258.7500000  290.340 41.650 1005.640
31386 2452259.0000000  298.630 41.950 1003.410
31386 2452259.2500000  304.810 41.860 997.370
31386 2452259.5000000  310.180 41.710 993.090
31386 2452259.7500000  314.810 42.600 987.230
31386 2452260.0000000  317.700 44.130 983.440
31386 2452260.2500000  318.970 47.270 979.750
31386 2452260.5000000  317.590 50.040 977.450
31386 2452260.7500000  314.780 51.960 974.870
31386 2452261.0000000  310.870 53.220 975.160
31386 2452261.2500000  307.440 53.760 977.140
31386 2452261.5000000  305.820 53.770 982.360
31386 2452261.7500000  304.630 53.480 982.730
31386 2452262.0000000  303.260 53.400 985.070
31386 2452262.2500000  301.410 54.340 985.590
31386 2452262.5000000  299.670 55.770 988.310
31386 2452262.7500000  296.880 57.990 989.470
31386 2452263.0000000  285.490 58.760 991.750
