25835 2452248.5000000  320.670 62.480 989.550
25835 2452248.7500000  321.590 62.980 986.650
25835 2452249.0000000  325.970 66.020 982.870
25835 2452249.2500000  326.440 65.130 982.120
25835 2452249.5000000  329.690 66.240 984.290
25835 2452249.7500000  330.220 67.430 988.890
25835 2452250.0000000  335.630 71.370 996.200
25835 2452250.2500000  336.320 73.410 999.050
25835 2452250.5000000  337.820 76.750 1001.260
25835 2452250.7500000  335.470 80.420 999.680
25835 2452251.0000000  332.720 81.540 999.160
25835 2452251.2500000  339.020 82.430 1000.140
25835 2452251.5000000  340.340 84.410 1001.310
25835 2452251.7500000  332.020 86.760 1000.540
25835 2452252.0000000  298.070 87.720 1000.670
25835 2452252.2500000  274.690 87.700 1000.330
