24296 2452167.5000000  290.390 37.470 1016.080
24296 2452167.7500000  290.790 37.250 1014.020
24296 2452168.0000000  294.850 34.550 1012.630
24296 2452168.2500000  297.780 36.100 1012.390
24296 2452168.5000000  301.690 36.830 1010.960
24296 2452168.7500000  303.810 37.370 1009.700
24296 2452169.0000000  306.090 37.750 1011.040
24296 2452169.2500000  308.180 38.050 1010.290
24296 2452169.5000000  310.020 38.330 1010.990
24296 2452169.7500000  311.180 38.240 1010.780
24296 2452170.0000000  312.300 38.490 1011.300
24296 2452170.2500000  313.760 38.600 1010.490
24296 2452170.5000000  315.190 38.320 1011.290
24296 2452170.7500000  315.740 37.450 1011.640
24296 2452171.0000000  315.250 36.860 1012.890
24296 2452171.2500000  313.170 37.600 1013.310
