11479 2452043.2500000  318.120 38.330 1007.030
11479 2452043.5000000  319.840 38.550 1005.820
11479 2452043.7500000  320.260 38.520 1002.380
11479 2452044.0000000  320.560 38.300 1002.120
11479 2452044.2500000  322.940 37.860 1001.080
11479 2452044.5000000  325.480 38.240 1001.280
11479 2452044.7500000  326.300 38.330 999.810
11479 2452045.0000000  326.680 38.140 1000.990
11479 2452045.2500000  326.630 38.050 1001.070
11479 2452045.5000000  327.250 37.640 1002.480
11479 2452045.7500000  328.490 37.370 1002.410
11479 2452046.0000000  330.030 36.960 1005.410
11479 2452046.2500000  333.180 36.940 1006.870
11479 2452046.5000000  336.190 37.290 1009.380
11479 2452046.7500000  338.250 37.050 1009.150
11479 2452047.0000000  339.630 36.730 1012.540
11479 2452047.2500000  341.530 35.840 1012.730
11479 2452047.5000000  343.780 34.930 1014.760
