12761 2452033.2500000  319.620 65.250 1005.350
12761 2452033.5000000  321.600 64.360 1005.290
12761 2452033.7500000  311.790 64.240 1004.680
12761 2452034.0000000  312.030 62.450 997.570
12761 2452034.2500000  311.880 62.550 992.310
12761 2452034.5000000  311.560 62.720 990.370
12761 2452034.7500000  312.010 62.310 988.710
12761 2452035.0000000  313.370 62.150 988.710
12761 2452035.2500000  312.170 63.330 990.240
12761 2452035.5000000  311.620 64.050 995.430
12761 2452035.7500000  312.070 64.680 998.530
12761 2452036.0000000  312.470 65.300 999.480
